serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAJMFFQHZ,2016-01-28T00:00:00.000,MCDONALD'S,95,A,1,ROUTINE INSPECTION,EE0000838,8152 W SUNSET BLVD,LOS ANGELES,FA0038335,CA,90046,OW0017898,"JONES,FRANCES R",RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALDS,ACTIVE,PR0002888
DA074DK3V,2016-02-22T00:00:00.000,NEW SEOUL RESTAURANT,95,A,1,ROUTINE INSPECTION,EE0000723,2666 W OLYMPIC BLVD,LOS ANGELES,FA0067529,CA,90006,OW0025887,"NEW SEOUL RESTAURANT, LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,NEW SEOUL RESTAURANT,ACTIVE,PR0011935
DAKGDOHUC,2016-03-03T00:00:00.000,JAN'S LIQUOR,92,A,1,ROUTINE INSPECTION,EE0001075,12300 W PICO BLVD,LOS ANGELES,FA0018602,CA,90064,OW0037019,"USJ CORPORATION-SURESH, JAIN","FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,JAN'S LIQUOR,ACTIVE,PR0007958
DAAVJ5QCZ,2018-03-01T00:00:00.000,SILVERLAKE COFFEE,93,A,1,ROUTINE INSPECTION,EE0000923,2388 GLENDALE BLVD # #B,LOS ANGELES,FA0047869,CA,90039,OW0021796,"LIM, LAWRENCE",RESTAURANT (31-60) SEATS MODERATE RISK,1634,SILVERLAKE COFFEE,ACTIVE,PR0017424
DATJVIRWK,2016-10-28T00:00:00.000,CNN NEWS #1248,94,A,1,ROUTINE INSPECTION,EE0000633,380 WORLD WAY T59,LOS ANGELES,FA0160823,CA,90045,OW0125761,"HG MAGIC CONCOURSE TBIT, JV","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,CNN NEWS #1248,ACTIVE,PR0148911
DAJKFC0P4,2018-04-24T00:00:00.000,LA NUEVA ESTRELLA BAKERY,88,B,1,ROUTINE INSPECTION,EE0000723,1900 W 7TH ST,LOS ANGELES,FA0034681,CA,90057,OW0026160,NOEMI MURILLO ET AL,RESTAURANT (0-30) SEATS HIGH RISK,1632,LA NUEVA ESTRELLA BAKERY,ACTIVE,PR0028085
DAQQGL3G9,2017-05-24T00:00:00.000,PA ORD INC,90,A,1,ROUTINE INSPECTION,EE0000857,5301 W SUNSET BLVD # 8-9,LOS ANGELES,FA0226237,CA,90027,OW0230400,PA ORD INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,PA ORD INC,ACTIVE,PR0181557
DAFKP6TUI,2017-03-14T00:00:00.000,JR MARKET DISCOUNT,92,A,1,ROUTINE INSPECTION,EE0001073,8322 S AVALON BLVD,LOS ANGELES,FA0064513,CA,90003,OW0025531,"NAJARRO, RENE","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,JR MARKET DISCOUNT,ACTIVE,PR0042509
DAG2ZCCXU,2018-01-17T00:00:00.000,MANDARIN KITCHEN,92,A,1,ROUTINE INSPECTION,EE0000684,1822 WESTWOOD BLVD,LOS ANGELES,FA0240840,CA,90025,OW0236863,NEW MANDARIN KITCHEN,RESTAURANT (0-30) SEATS HIGH RISK,1632,MANDARIN KITCHEN,ACTIVE,PR0188895
DACCLRKW4,2015-08-25T00:00:00.000,SUBWAY,95,A,1,ROUTINE INSPECTION,EE0000869,635 S HOBART BLVD,LOS ANGELES,FA0071142,CA,90005,OW0005591,C G INVESTMENTS INC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,SUBWAY,ACTIVE,PR0047148
DAIRPDMTF,2017-10-24T00:00:00.000,NEW INDIA SWEETS & SPICEYS,96,A,1,ROUTINE INSPECTION,EE0000853,1245 S FAIRFAX AVE,LOS ANGELES,FA0241861,CA,90019,OW0237652,786 SAMANTHA INC,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,NEW INDIA SWEETS & SPICEYS,ACTIVE,PR0189992
DAII1SR1C,2017-09-26T00:00:00.000,LOFT BAR AT POOL LEVEL,97,A,1,ROUTINE INSPECTION,EE0000709,6250 HOLLYWOOD BLVD,LOS ANGELES,FA0167737,CA,90028-5309,OW0130713,HEI/GC HOLLYWOOD&VINE HOTELLLC,RESTAURANT (61-150) SEATS LOW RISK,1636,BAR/DANCE CLUB AT POOL LEVEL,ACTIVE,PR0158121
DAIOELTBY,2017-02-23T00:00:00.000,BANQUET KITCHEN,94,A,1,ROUTINE INSPECTION,EE0000776,135 N GRAND AVE,LOS ANGELES,FA0004876,CA,90012,OW0029347,RA MUSIC INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,"BANQUET KITCHEN, 5TH FL",ACTIVE,PR0006869
DA81AJQ6A,2016-03-08T00:00:00.000,PIKNIC,92,A,1,ROUTINE INSPECTION,EE0000015,2000 AVENUE OF THE STARS STE # 20,LOS ANGELES,FA0044618,CA,90067,OW0028542,"PIKNIC CENTURY CITY, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,PIKNIC,INACTIVE,PR0036058
DA07JJVEW,2018-05-03T00:00:00.000,THE LINE HOTEL,99,A,1,ROUTINE INSPECTION,EE0000699,3515 WILSHIRE BLVD,LOS ANGELES,FA0159351,CA,90010,OW0124363,RECP SYDELL WILSHIRE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,POT CAFE,INACTIVE,PR0151565
DA0RUEJCC,2018-07-10T00:00:00.000,TAQUERIA  EL SARAPE,98,A,1,ROUTINE INSPECTION,EE0000997,2522 1/2 E 1ST ST,LOS ANGELES,FA0050638,CA,90033,OW0033439,SOLIS ISAURO,RESTAURANT (31-60) SEATS HIGH RISK,1635,TAQUERIA  EL SARAPE,ACTIVE,PR0033308
DAVGZ32JG,2018-03-13T00:00:00.000,WATTS COFFEE HOUSE,96,A,1,ROUTINE INSPECTION,EE0000195,1827 E 103RD ST,LOS ANGELES,FA0040463,CA,90002,OW0038506,"WATTS HEALTH SYSTEMS, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,WATTS COFFEE HOUSE,ACTIVE,PR0026040
DAWF5V2DD,2017-08-23T00:00:00.000,FOUND COFFEE,99,A,1,ROUTINE INSPECTION,EE0000746,1355 COLORADO BLVD,LOS ANGELES,FA0167528,CA,90041,OW0130562,FOUND COFFEE INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,FOUND COFFEE,ACTIVE,PR0157899
DARBQQ520,2017-11-08T00:00:00.000,SUBWAY - 46186,96,A,1,ROUTINE INSPECTION,EE0000594,3300 S CENTRAL AVE,LOS ANGELES,FA0034747,CA,90011,OW0014464,H.S. CHEEMA INC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,SUBWAY - 46186,ACTIVE,PR0043146
DAG9HS7HK,2018-03-23T00:00:00.000,HOTEL PALOMAR & BLVD 16,95,A,1,ROUTINE INSPECTION,EE0000684,10740 WILSHIRE BLVD,LOS ANGELES,FA0171232,CA,90024,OW0130701,RHCP LESSEE LLC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,BLVD 16 AT THE HOTELPALOMAR,ACTIVE,PR0158108
DAYLWQQLN,2018-01-05T00:00:00.000,CONCERT HALL CAFE,97,A,1,ROUTINE INSPECTION,EE0000721,111 S GRAND AVE # #950,LOS ANGELES,FA0060206,CA,90012,OW0035686,THE PATINA GROUP NEWCO LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,CONCERT HALL CAFE,ACTIVE,PR0037590
DAJEQCFSO,2016-05-03T00:00:00.000,LAS PALMITAS FRUIT #1,94,A,1,ROUTINE INSPECTION,EE0000740,3425 E 1ST ST STE 3423,LOS ANGELES,FA0065483,CA,90063,OW0020819,LAS PALMITAS FRESH FRUIT INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LAS PALMITAS,ACTIVE,PR0008821
DALKCWUH3,2015-11-09T00:00:00.000,NUMERO UNO MARKET,98,A,1,ROUTINE INSPECTION,EE0001006,1831 W 3RD ST,LOS ANGELES,FA0160707,CA,90057,OW0026360,NUMERO UNO ACQUISITIONS LLC,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,NUMERO UNO MARKET,ACTIVE,PR0148792
DAAOZS9JU,2016-12-28T00:00:00.000,SAY CHEESE,97,A,1,ROUTINE INSPECTION,EE0000923,2800 HYPERION AVE,LOS ANGELES,FA0032183,CA,90027,OW0014894,"HARRELL, GLENN","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1611,SAY CHEESE,ACTIVE,PR0035446
DAAJ1WMU5,2017-10-18T00:00:00.000,WHISPER LOUNGE,91,A,1,ROUTINE INSPECTION,EE0000468,189 THE GROVE DR STE F90-B,LOS ANGELES,FA0054565,CA,90036,OW0005601,C&C FOOD ENTERPRISES LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,WHISPER LOUNGE,ACTIVE,PR0024815
DAMJ9LJMS,2016-05-10T00:00:00.000,"BERRI'S KITCHEN HOLLYWOOD, LLC",92,A,1,ROUTINE INSPECTION,EE0000835,7123 SUNSET BLVD,LOS ANGELES,FA0178309,CA,90046,OW0184083,"BERRI'S PIZZA WESTWOOD, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,"BERRI'S KITCHEN HOLLYWOOD, LLC",ACTIVE,PR0171431
DAJ2K48YI,2016-12-27T00:00:00.000,LUPITA'S BAKERY,93,A,1,ROUTINE INSPECTION,EE0000884,2546 W PICO BLVD,LOS ANGELES,FA0023110,CA,90006,OW0004030,"BARRIGA, LEOBARDO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LUPITA'S BAKERY,ACTIVE,PR0035583
DA1GDKLIG,2015-10-15T00:00:00.000,PRIMO'S EXPRESSO AMERICAN,95,A,1,ROUTINE INSPECTION,EE0000721,333 S SPRING ST #F3,LOS ANGELES,FA0171491,CA,90012-1229,OW0178567,SUK JA PARK,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PRIMO'S EXPRESSO AMERICAN,ACTIVE,PR0163890
DADLM9NR0,2018-06-08T00:00:00.000,POWER DISCOUNT STORE,97,A,1,ROUTINE INSPECTION,EE0000721,325 W 5TH ST,LOS ANGELES,FA0045094,CA,90013,OW0027825,"PARK, SANG P","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,POWER DISCOUNT STORE,ACTIVE,PR0030367
DARGSQELW,2016-11-09T00:00:00.000,G&M OIL #99,96,A,1,ROUTINE INSPECTION,EE0000728,12726 S WESTERN AVE,LOS ANGELES,FA0024330,CA,90049,OW0012557,"G&M OIL COMPANY, INC.","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,G&M OIL #99,ACTIVE,PR0020130
DAZXC8S1Y,2016-10-19T00:00:00.000,TACOS TU MADRE,96,A,1,ROUTINE INSPECTION,EE0000846,1824 N VERMONT AVE,LOS ANGELES,FA0223991,CA,90027-4213,OW0228566,"TACOS TU MADRE, INC",RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS TU MADRE,ACTIVE,PR0179150
DAA0CSDMI,2016-10-28T00:00:00.000,RALPHS MARKET #289,100,A,1,ROUTINE INSPECTION,EE0000853,5601 WILSHIRE BLVD,LOS ANGELES,FA0045216,CA,90036,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (0-30) SEATS MODERATE RISK,1631,RALPHS BAKERY#289,ACTIVE,PR0018997
DAKII3W66,2017-08-17T00:00:00.000,SMITH PHARMACY,95,A,1,ROUTINE INSPECTION,EE0000912,1107 N WESTERN AVE,LOS ANGELES,FA0048736,CA,90029,OW0033236,"SMITH PHARMACY, INC.","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,SMITH PHARMACY,ACTIVE,PR0045192
DAQHPOK6L,2018-02-28T00:00:00.000,CLEO,90,A,1,ROUTINE INSPECTION,EE0000122,800 W OLYMPIC BLVD,LOS ANGELES,FA0240695,CA,90015,OW0236746,"CLEO @ DTLA , LLC",RESTAURANT (61-150) SEATS HIGH RISK,1638,CLEO - RESTAURANT,INACTIVE,PR0188739
DAA9TLXYA,2015-09-08T00:00:00.000,NY EXPRESS DONUTS & CHINESE,90,A,1,ROUTINE INSPECTION,EE0000724,10727 S CENTRAL AVE,LOS ANGELES,FA0042812,CA,90059,OW0018980,"KHY, HOUT VENG",RESTAURANT (31-60) SEATS HIGH RISK,1635,NY EXPRESS DONUTS & CHINESE,INACTIVE,PR0041916
DAQMKCSP0,2015-12-21T00:00:00.000,THE FRENCH CREPE CO,90,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD STE #403,LOS ANGELES,FA0072270,CA,90028,OW0001680,"ACOMERICA, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,1634,THE FRENCH CREPE CO,ACTIVE,PR0016628
DAWZ6AOKB,2018-05-01T00:00:00.000,THE OINKSTER,94,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000828,776 VINE ST,LOS ANGELES,FA0156829,CA,90038,OW0122065,"THE OINKSTER 2.0, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE OINKSTER,ACTIVE,PR0144499
DAWM55A90,2017-03-02T00:00:00.000,TEDDY'S MARKET,94,A,1,ROUTINE INSPECTION,EE0001025,5511 S VERMONT AVE,LOS ANGELES,FA0051417,CA,90037,OW0024396,"MICHAEL, MUSSIE M","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1611,TEDDY'S MARKET,ACTIVE,PR0044407
DAEME6WU9,2015-10-08T00:00:00.000,FRY'S HOLLYWOOD SHELL,90,A,1,ROUTINE INSPECTION,EE0000904,1630 N VERMONT AVE,LOS ANGELES,FA0024203,CA,90027,OW0035253,TEMPLE PETROLEUM INC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,FRY'S HOLLYWOOD SHELL,ACTIVE,PR0039373
DAHRCPEKO,2015-07-06T00:00:00.000,SUNNY'S GIFT & SNACK SHOP,96,A,1,ROUTINE INSPECTION,EE0000699,3341 WILSHIRE BLVD,LOS ANGELES,FA0050206,CA,90010,OW0039810,"YOO, BONG SEOB","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SUNNY'S GIFT & SNACK SHOP,INACTIVE,PR0033884
DAWFX2V3F,2015-09-03T00:00:00.000,JAMBA JUICE #36,96,A,1,ROUTINE INSPECTION,EE0000828,158 N LARCHMONT AVE,LOS ANGELES,FA0175817,CA,90004,OW0181391,"GRAB N GO JUICE, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,JAMBA JUICE #36,INACTIVE,PR0169030
DAY0PCBOF,2016-02-01T00:00:00.000,VEES CAFE,96,A,1,ROUTINE INSPECTION,EE0000997,2310 WHITTIER BLVD,LOS ANGELES,FA0159789,CA,90023,OW0124789,VEES CAFE LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,VEES CAFE,INACTIVE,PR0147854
DAVPG0QEE,2015-09-01T00:00:00.000,MIKAWAYA,96,A,1,ROUTINE INSPECTION,EE0000893,118 JAPANESE VLG PLZ MALL,LOS ANGELES,FA0066936,CA,90012,OW0014966,"HASHIMOTO,FRANCIS DBA","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,MIKAWAYA,INACTIVE,PR0045847
DACPLW2NT,2018-06-05T00:00:00.000,MCDONALD'S #1922,98,A,1,ROUTINE INSPECTION,EE0000923,1417 GLENDALE BLVD,LOS ANGELES,FA0066677,CA,90026,OW0015209,HENROSE CORP,RESTAURANT (61-150) SEATS MODERATE RISK,1637,MCDONALD S NO 1922,ACTIVE,PR0031062
DAXQOPITL,2015-10-21T00:00:00.000,NOAH'S NEW YORK BAGELS #2154,93,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000911,10910 LINDBROOK DR,LOS ANGELES,FA0042530,CA,90024,OW0010776,EINSTEIN AND NOAH CORP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,NOAH'S NEW YORK BAGELS,ACTIVE,PR0040775
DAHGCMW4N,2017-08-31T00:00:00.000,SONNY'S HIDEAWAY,92,A,1,ROUTINE INSPECTION,EE0000162,5137 YORK BLVD,LOS ANGELES,FA0033764,CA,90042,OW0002851,"APOPHENIA, LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,SONNY'S HIDEAWAY,ACTIVE,PR0023133
DAV1FXP0L,2015-10-21T00:00:00.000,TACOS TUMBRAS FOOD PREP RM,94,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY # 4CC/1,LOS ANGELES,FA0071793,CA,90013,OW0023597,"MARTINEZ, TOMAS",RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS TUMBRAS FOOD PREP RM,ACTIVE,PR0008628
DAGVMZCB7,2016-08-12T00:00:00.000,RALPHS MARKET #283,99,A,1,ROUTINE INSPECTION,EE0000798,5080 RODEO RD,LOS ANGELES,FA0045150,CA,90016,OW0029458,RALPHS GROCERY COMPANY,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,RALPH'S #283 (MARKET),ACTIVE,PR0036347
DA58Y9M5X,2017-01-03T00:00:00.000,BANGLA APNA BAZZAR,92,A,1,ROUTINE INSPECTION,EE0001003,261 S KENMORE ST,LOS ANGELES,FA0242118,CA,90004,OW0237833,"BANGLA APNA BAZZAR , INC","FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1614,BANGLA APNA BAZZAR,ACTIVE,PR0190270
DAU97XD06,2016-02-16T00:00:00.000,AMELIA,95,A,1,ROUTINE INSPECTION,EE0000828,7122 BEVERLY BLVD # C,LOS ANGELES,FA0202869,CA,90036,OW0208153,"AMELIA'S BAKERY, INC",RESTAURANT (31-60) SEATS HIGH RISK,1635,AMELIA,INACTIVE,PR0175163
DAGEASZNN,2017-02-21T00:00:00.000,EL POLLO LOCO #5301,96,A,1,ROUTINE INSPECTION,EE0001006,503 S ALVARADO ST,LOS ANGELES,FA0061537,CA,90057,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO #5301,ACTIVE,PR0047564
DA1EJPMOT,2016-01-20T00:00:00.000,DARABAR SECRET THAI CUISINE,86,B,1,ROUTINE INSPECTION,EE0000857,5112 HOLLYWOOD BLVD # 108-0,LOS ANGELES,FA0060645,CA,90027,OW0032106,"SEESOD, PRAKOPSUP",RESTAURANT (31-60) SEATS HIGH RISK,1635,DARABAR SECRET THAI CUISINE,ACTIVE,PR0031093
DANGNW0K0,2018-03-07T00:00:00.000,SABY'S CAFE & JUICE BAR,94,A,1,ROUTINE INSPECTION,EE0000953,12900 W VENICE BLVD,LOS ANGELES,FA0031448,CA,90066,OW0031149,SABINA AQUILAR,RESTAURANT (0-30) SEATS HIGH RISK,1632,SABY'S CAFE & JUICE BAR,ACTIVE,PR0043403
DACNORXC6,2018-05-08T00:00:00.000,ARCO AM/PM,92,A,1,ROUTINE INSPECTION,EE0000822,1255 N HIGHLAND AVE,LOS ANGELES,FA0057664,CA,90038,OW0022051,LOGICAL LINK CORP,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,ARCO AM/PM,ACTIVE,PR0022839
DASN2JDDO,2015-12-22T00:00:00.000,ARCLIGHT CINEMAS,90,A,1,ROUTINE INSPECTION,EE0000709,6360 W SUNSET BLVD,LOS ANGELES,FA0007157,CA,90028,OW0027140,PACIFIC THEATERS EXHIBITION CORP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,ARCLIGHT CAFE & BAR,ACTIVE,PR0016695
DAO8YGAGY,2016-09-06T00:00:00.000,USC GALEN CENTER,99,A,1,ROUTINE INSPECTION,EE0000122,3400 S FIGUEROA ST,LOS ANGELES,FA0024368,CA,90089,OW0002904,ARAMARK HIGHER EDUCATION,RESTAURANT (0-30) SEATS MODERATE RISK,1631,GALEN CENTER-EVENT GRILL,ACTIVE,PR0026107
DASB99ZXR,2016-04-25T00:00:00.000,MOM'S RESTAURANT,80,B,1,ROUTINE INSPECTION,EE0000531,3126 W 8TH ST,LOS ANGELES,FA0067112,CA,90005,OW0007005,"CHANG, DONG J",RESTAURANT (0-30) SEATS HIGH RISK,1632,MOM'S RESTAURANT,ACTIVE,PR0043750
DARQKFIQV,2017-04-28T00:00:00.000,DODGER STADIUM,92,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000122,1000 VIN SCULLY AVE,LOS ANGELES,FA0019271,CA,90012,OW0021606,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (151 + ) SEATS HIGH RISK,1641,DUGOUT CLUB - MAIN KITCHEN,ACTIVE,PR0012405
DA048UWFN,2016-06-21T00:00:00.000,A B C EXPRESS,77,C,1,ROUTINE INSPECTION,EE0000723,1822 W 7TH ST,LOS ANGELES,FA0056952,CA,90057,OW0039478,YAM'S INCORPORATED,RESTAURANT (31-60) SEATS HIGH RISK,1635,A B C EXPRESS,ACTIVE,PR0000547
DAHK0OW0L,2015-08-18T00:00:00.000,BENTOMO,92,A,1,ROUTINE INSPECTION,EE0001048,1831 S LA CIENEGA BLVD STE E,LOS ANGELES,FA0031725,CA,90035,OW0007803,"CHOI, STEPHAN SIK",RESTAURANT (0-30) SEATS HIGH RISK,1632,BENTOMO,ACTIVE,PR0036548
DAHZMNQBJ,2016-04-28T00:00:00.000,IVON CAFE,92,A,1,ROUTINE INSPECTION,EE0000951,440 N LA CIENEGA BLVD,LOS ANGELES,FA0222557,CA,90048,OW0227390,VAHAGN SARSGYAN,RESTAURANT (0-30) SEATS MODERATE RISK,1632,IVON CAFE,INACTIVE,PR0177577
DAOH26H0Q,2016-02-18T00:00:00.000,VERSAILLES,93,A,1,ROUTINE INSPECTION,EE0000911,10319 VENICE BLVD,LOS ANGELES,FA0053996,CA,90034,OW0012767,"GARCIA, WILLIAM",RESTAURANT (61-150) SEATS HIGH RISK,1638,VERSAILLES,ACTIVE,PR0047194
DAVBVMP4F,2015-12-23T00:00:00.000,EL POLLO LOCO #3280,92,A,1,ROUTINE INSPECTION,EE0000911,1081 GAYLEY AVE,LOS ANGELES,FA0021126,CA,90024,OW0029784,"RAZIPOURT, SHAPOUR",RESTAURANT (61-150) SEATS HIGH RISK,1638,EL POLLO LOCO #3280,ACTIVE,PR0024118
DAD0LIDNF,2015-11-19T00:00:00.000,MEXICALI MEAT MARKET,83,B,1,ROUTINE INSPECTION,EE0000721,2623 S SAN PEDRO ST,LOS ANGELES,FA0066840,CA,90011,OW0007903,"CHOWDHURY, TAHMINA","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,MEXICALI MEAT MARKET,ACTIVE,PR0019114
DAUMY8MSR,2016-03-22T00:00:00.000,GARAGE PIZZA,91,A,1,ROUTINE INSPECTION,EE0000904,4339 1/2 W SUNSET BLVD,LOS ANGELES,FA0024384,CA,90029,OW0004094,BATTEN DOWN LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,GARAGE PIZZA,ACTIVE,PR0033240
DASQ46Z75,2015-10-20T00:00:00.000,AROMA CAFE,93,A,1,ROUTINE INSPECTION,EE0000015,2530 OVERLAND AVE,LOS ANGELES,FA0004264,CA,90064,OW0033196,"SLIPAC, ADEM",RESTAURANT (31-60) SEATS HIGH RISK,1635,AROMA CAFE,ACTIVE,PR0042678
DAJU0YFU5,2016-03-02T00:00:00.000,CABANAS RESTAURANTE,90,A,1,ROUTINE INSPECTION,EE0000721,1003 S HILL ST,LOS ANGELES,FA0006801,CA,90015,OW0024780,"MOLINA,HILDA D",RESTAURANT (31-60) SEATS HIGH RISK,1635,CABANAS RESTAURANTE,ACTIVE,PR0037902
DAZA11IXV,2018-03-22T00:00:00.000,RICKS DRIVE IN & OUT,93,A,1,ROUTINE INSPECTION,EE0000923,2400 FLETCHER DR,LOS ANGELES,FA0069539,CA,90039,OW0024399,"MICHAELS, JOHN",RESTAURANT (61-150) SEATS HIGH RISK,1638,RICKS DRIVE IN & OUT,ACTIVE,PR0022418
DA4KEPS75,2016-02-17T00:00:00.000,TRIMANA,93,A,1,ROUTINE INSPECTION,EE0000015,1875 CENTURY PARK E STE A,LOS ANGELES,FA0038565,CA,90067,OW0038503,WATT ELYAD CORP.,RESTAURANT (61-150) SEATS HIGH RISK,1638,TRIMANA,ACTIVE,PR0043041
DAWX2SEUP,2016-03-09T00:00:00.000,EL RANCHO MARKET,80,B,1,ROUTINE INSPECTION,EE0000798,3519 CRENSHAW BLVD,LOS ANGELES,FA0165463,CA,90016,OW0128723,"FRESH PRODUCE DAILY, LLC","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,EL RANCHO MARKET,INACTIVE,PR0153786
DAXN1WJSJ,2017-10-04T00:00:00.000,HOTEL SOFITEL L A RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000957,8555 W BEVERLY BLVD,LOS ANGELES,FA0063714,CA,90048,OW0022271,LOS ANGELES MAISON INC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,HOTEL SOFITEL L A RESTAURANT,ACTIVE,PR0010977
DABHS6PO0,2017-02-15T00:00:00.000,HUNGRY HAROLD'S,96,A,1,ROUTINE INSPECTION,EE0000006,3453 W SLAUSON AVE,LOS ANGELES,FA0029682,CA,90043,OW0007987,"CHUN, JOON HO0 ET AL",RESTAURANT (0-30) SEATS HIGH RISK,1632,HUNGRY HAROLD'S,ACTIVE,PR0026468
DAFQ9RE23,2017-11-01T00:00:00.000,DOUGH BOX PIZZA & BREAD,95,A,1,ROUTINE INSPECTION,EE0000420,2734 N EASTERN AVE,LOS ANGELES,FA0245094,CA,90032-2707,OW0240217,ALEXANDRA MARIE GONZALEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,DOUGH BOX PIZZA & BREAD,ACTIVE,PR0193455
DA6Q4X2JG,2016-10-26T00:00:00.000,AMAPOLA DELI & MARKET,94,A,1,ROUTINE INSPECTION,EE0000799,7223 S COMPTON AVE,LOS ANGELES,FA0006304,CA,90001,OW0020273,LA AMAPOLA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,AMAPOLA TORTILLERIA,ACTIVE,PR0021764
DA0QRECCP,2016-10-31T00:00:00.000,GREEN EARTH CAFE,93,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD STE 325,LOS ANGELES,FA0062998,CA,90028,OW0001768,"AFRAM, ALAX",RESTAURANT (0-30) SEATS MODERATE RISK,1631,GREEN EARTH CAFE,ACTIVE,PR0007444
DAZ8V00YS,2016-08-22T00:00:00.000,DONUT STAR,99,A,1,ROUTINE INSPECTION,EE0000923,4102 VERDUGO RD,LOS ANGELES,FA0224982,CA,90065,OW0229447,LCCS CORP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DONUT STAR,ACTIVE,PR0180278
DAWYEW1Y8,2016-03-07T00:00:00.000,THE PHO SHOP,93,A,1,ROUTINE INSPECTION,EE0000721,333 S ALAMEDA ST STE 125,LOS ANGELES,FA0051654,CA,90013,OW0013859,GOYOO CORP,RESTAURANT (31-60) SEATS HIGH RISK,1635,THE PHO SHOP,ACTIVE,PR0035886
DAPK0SFRE,2016-04-28T00:00:00.000,7-ELEVEN,96,A,1,ROUTINE INSPECTION,EE0001075,11656 WILSHIRE BLVD,LOS ANGELES,FA0003846,CA,90025,OW0029311,R BERG ENTERPRISES INC.,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1614,7-ELEVEN,ACTIVE,PR0030180
DAUHHXFOE,2015-08-28T00:00:00.000,SAN SALVADOR,90,A,1,ROUTINE INSPECTION,EE0000884,1828 S VERMONT AVE,LOS ANGELES,FA0046962,CA,90006,OW0030481,"RODRIGUEZ, ANA MARIA",RESTAURANT (151 + ) SEATS HIGH RISK,1641,SAN SALVADOR,ACTIVE,PR0022683
